Identifier,Mean_GFP_Intensity,Total_GFP_Intensity,Mean_GFP_Head,Total_GFP_Head,Mean_GFP_Tail,Total_GFP_Tail
C1_03_010,4691.225916444886,1849088916,5041.557641816704,862171897,4422.7412501232375,986917019
C1_03_011,4973.999954398054,1963337262,5446.397646207194,932957024,4611.811898559677,1030380238
C1_03_012,5313.35676305982,2091501936,5876.476191586334,1008274032,4878.240348025021,1083227904
C1_03_013,5635.017525209496,2215717066,6345.759689607305,1092543100,5081.407399699597,1123173966
C1_03_014,6082.104629575395,2388266107,6941.906250361577,1199936263,5405.996096753209,1188329844
C1_03_015,6393.410525083714,2512635910,7351.045035859528,1268922692,5643.3404027479055,1243713218
C1_03_016,6756.758819118787,2658345406,7810.452182700081,1352614109,5928.270854237134,1305731297
C1_03_017,7139.852559188046,2812487881,8335.5505330785,1447951812,6196.634374176907,1364536069
C1_03_018,7524.564625212537,2969471610,8808.589508657156,1543027050,6499.674479641308,1426444560
C1_03_019,7825.786769764665,3093940451,9168.079250391254,1605128979,6758.90696132998,1488811472
C1_03_020,8154.795849636102,3218012919,9525.455140896098,1669536048,7059.549435820283,1548476871
C1_03_021,8418.99253053907,3329517909,9853.490838286769,1725651704,7278.853280749367,1603866205
C1_03_022,8779.560690148644,3472395269,10269.6665869382,1803312374,7589.741829723573,1669082895
C1_03_023,9047.507916681416,3578235096,10527.294572181358,1841950204,7873.415222763859,1736284892
C1_03_024,9437.540303500351,3729612115,10977.409729250292,1930728778,8202.580569703658,1798883337
C1_03_025,9687.0491671912,3832090093,11202.14450470669,1976629600,8467.0869178326,1855460493
C1_03_026,9989.415884290765,3960224012,11537.457638558044,2034238381,8749.469081344321,1925985631
C1_03_027,10337.091803162788,4093932849,11890.00195245075,2100975235,9086.07386638218,1992957614
C1_03_028,10647.08848133524,4228086601,12194.182607763847,2162138324,9399.090444625415,2065948277
C1_03_029,10947.971258232794,4348446600,12537.194621409035,2213930661,9675.824621605327,2134515939
C1_03_030,11278.242504411392,4480473565,12873.657799144696,2278804788,9996.044462302614,2201668777
C1_03_031,11589.88211518098,4607940101,13169.872656395026,2341221432,10312.07881735301,2266718669
C1_03_032,11934.974178439186,4744581895,13543.82451454396,2403514186,10637.638744240574,2341067709
C1_03_033,12268.325446491352,4885443486,13924.829253452172,2471615418,10936.204259714841,2413828068
C1_03_034,12627.190367941419,5021480048,14247.847378786773,2539237112,11311.045809353256,2482242936
C1_03_035,13043.683717981805,5205851565,14802.46698613764,2650322504,11612.715726860035,2555529061
C1_03_036,13398.29987928737,5338780358,15102.114358457837,2698898857,12012.729974471802,2639881501
C1_03_037,13766.426213208038,5496548527,15510.280437870812,2784172890,12342.051522749094,2712375637
C1_03_038,14155.63432949846,5651368049,15907.00650166852,2860079769,12720.574030105136,2791288280
C1_03_039,14546.882744078408,5801835073,16325.979629948699,2937386581,13084.692265526503,2864448492
C1_03_040,14958.430371334493,5964689069,16776.2403593619,3021350560,13461.16928572082,2943338509
C1_03_041,15309.670552181087,6104669894,17102.62208259522,3089417653,13824.710191374836,3015252241
C1_03_042,15706.164981965758,6261828092,17535.64883192678,3172882764,14185.937477898662,3088945328
C1_03_043,16098.92267468544,6419139537,17912.034931537055,3249458081,14585.385796916054,3169681456
C1_03_044,16406.67944012051,6534780421,18226.827938680595,3307731827,14883.262895251448,3227048594
C1_03_045,16685.305462714783,6654617063,18480.18320811915,3365019600,15177.410403104137,3289597463
C1_03_046,17106.312388380837,6829472839,19013.157883249118,3484389340,15488.290306748466,3345083499
